,Novela,Caracteres,Caracteres (sin espacios),Palabras,Palabras únicas,Oraciones,Párrafos,Prom. palabras/oración,Prom. caracteres/palabra,Índice de legibilidad,Diversidad léxica
La_de_Bringas_314648,La_de_Bringas_314648,433852,365965,74351,12122,3531,921,21.06,4.92,53.2,0.163
Peñas_arriba_pg24127,Peñas_arriba_pg24127,771689,645560,137572,17045,3898,1507,35.29,4.69,42.74,0.1239
Pepita_Jimenez_pg17223,Pepita_Jimenez_pg17223,334282,277668,59840,10003,2647,970,22.61,4.64,50.95,0.1672
La_desheredada_pg25956,La_desheredada_pg25956,841679,711395,143102,18424,8789,2867,16.28,4.97,55.84,0.1287
El_sombrero_de_tres_picos_pg29506,El_sombrero_de_tres_picos_pg29506,444681,381667,70730,10969,6639,4657,10.65,5.4,64.53,0.1551
Los_pazos_de_Ulloa_18005-8_UTF8,Los_pazos_de_Ulloa_18005-8_UTF8,513099,434402,86438,15448,3722,1391,23.22,5.03,48.96,0.1787
Tristana_pg66979,Tristana_pg66979,322394,271362,55744,10520,2747,732,20.29,4.87,55.54,0.1887
Su_unico_hijo_pg17341,Su_unico_hijo_pg17341,535103,450780,92221,12095,3572,1235,25.82,4.89,46.92,0.1312
Platero_y_yo_pg9980,Platero_y_yo_pg9980,217680,183307,34720,6895,2753,1755,12.61,5.28,57.97,0.1986
La_gaviota_pg23600,La_gaviota_pg23600,550196,463501,93646,13203,4863,2702,19.26,4.95,53.37,0.141
